Meeting Key,Meeting Name,Agenda Item Key,Agenda Item Title,Task Key,Task Name,Task Description,Task Type,Include School Tracker Field,Include School Tracker Value,Complete Tracker Field,Complete Tracker Value
intake,1 - Intake Meeting,review_questionnaire,Review all questoinnaires and assign researching first college list,intake_student,,,pre,,,,
intake,1 - Intake Meeting,review_questionnaire,Review all questoinnaires and assign researching first college list,intake_parent,,,pre,,,,
intake,1 - Intake Meeting,review_questionnaire,Review all questoinnaires and assign researching first college list,college_search,,,pre,,,,
intake,1 - Intake Meeting,review_transcript,"Review transcript/senior year courses, test scores, review questionnaires",counselor_transcript_test_score,,,pre,,,,
review_college_research,2 - Review College Research,review_research,Review research,research_suggested_college_list,,,pre,,,,
review_college_research,2 - Review College Research,updated_list_of_colleges,Provide an updated list of colleges to research based off initial findings,research_suggested_college_list,,,pre,,,,
review_college_research,2 - Review College Research,discuss_activity_purpose,Discuss the purpose of the activity resume and assign,,,,,,,,
review_college_search,3 - Review College Search & Activity Summary,discuss_activity,"Review activity section - discuss, edit and tweak as needed",schoolnet_activities,Fill out activity section of UMS,,pre,,,,
review_college_search,3 - Review College Search & Activity Summary,review_college_research_narrow,"Review college research. Discuss narrowing the list, give any additional colleges to research",research_suggested_college_list,,,,,,,
review_college_search,3 - Review College Search & Activity Summary,schedule_essay_brainstorming,Schedule Essay Brainstorming meeting,,,,,,,,
essay_brainstorming,4 - Essay Brainstorming Meeting,essay_brainstorm,Essay Brainstorm,essay_kickoff,Watch the Essay Brainstorming video ,,pre,,,,
essay_brainstorming,4 - Essay Brainstorming Meeting,essay_brainstorm,Essay Brainstorm,essay_brainstorm,Complete the brainstorming exercises in Prompt,,pre,,,,
essay_brainstorming,4 - Essay Brainstorming Meeting,essay_brainstorm,Essay Brainstorm,submit_first_draft,Submit your first draft within 24 hours,,post,,,,
essay_brainstorming,4 - Essay Brainstorming Meeting,essay_brainstorm,Essay Brainstorm,parent_essay_process,Parent: Watch the video on the Essay Process,,pre,,,,
essay_brainstorming,4 - Essay Brainstorming Meeting,essay_brainstorm,Essay Brainstorm,letter_to_parents,Review our Letter to Parents on the essay process,,pre,,,,
narrow_college_list,5 - Narrowing the College List,review_college_research_narrow_2,Review research on additional schools,trim_college_list,,,pre,,,,
narrow_college_list,5 - Narrowing the College List,discuss_narrow_list,Discuss how to narrow the list & including program research ,trim_college_list,,,pre,,,,
narrow_college_list,5 - Narrowing the College List,provide_updated_list,Provide an updated list with any additional schools necessary to fill the gaps to balance the list,trim_college_list,,,pre,,,,
narrow_college_list,5 - Narrowing the College List,discuss_lor,Discuss Letters of Recommendation,,,,,,,,
narrow_college_list,5 - Narrowing the College List,assign_common_app,Assign Common App and send Common App Guide,,,,,,,,
finalize_college_list,6 - Finalize College List,finalize_college_list,Finalize the college list ,final_colleges,,,pre,,,,
finalize_college_list,6 - Finalize College List,finalize_college_list,Finalize the college list ,research_final_colleges,Research any final schools   ,,pre,,,,
finalize_college_list,6 - Finalize College List,consider_ea_ed,Consider EA & ED options,final_colleges,,,pre,,,,
finalize_college_list,6 - Finalize College List,consider_ea_ed,Consider EA & ED options,research_final_colleges,Research any final schools   ,,pre,,,,
finalize_college_list,6 - Finalize College List,review_common_app,Review Common App,common_application,,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),check_application,Check on application work,,,,,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),confirm_recommenders,Confirm recommenders,ask_recommenders,Ask your recommenders for letters,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),brainstorm_supplement,Brainstorm supplement essays,brainstorm_school,Brainstorm x school,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),brainstorm_supplement,Brainstorm supplement essays,supplement_major,Watch Supplement Essay: Why this Major?,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),brainstorm_supplement,Brainstorm supplement essays,supplement_school,Watch Supplement Essay: Why this School?,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),brainstorm_supplement,Brainstorm supplement essays,supplement_uc_piq,Watch Supplement Essay: University of California: Personal Insight Questions,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),assign_new_applications,Assign new applications,work_on_application,Work on x application,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),confirm_test_scores,Confirm test scores have been sent,send_confirm_test_score,Send X test score to Y school,,pre,test_scores_status,assigned,test_scores_status,requested
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),confirm_transcript_ordered,Confirm transcript have been ordered,send_transcript_school,Send transcript to Y school,,pre,transcript_status,assigned,transcript_status,requested
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),confirm_lor_submitted,Confiremd LORs have been submitted,send_lor_school,Send LORs to Y school,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),confirm_ed_plan,"Confirm ED plan, if any, and work towards that deadline",,,,,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),share_out_interview,Share out information on interview process,watch_interview_process,Watch Interview Process,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),share_out_interview,Share out information on interview process,share_interview_tracking,Share interview tracking documents,,pre,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),share_out_financial_aid,Share out information on financial aid deadlines,,,,,,,,
senior_season_checkin,Senior Season Check-in Meeting (ad hoc),discuss_additional_college_visits,Discuss any additional college visits needed in the fall,,,,,,,,