Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Parent Kickoff,premier_11_2-parent-kickoff-11-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",11,2,premier_11_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,premier-11-2 Complete Intake Questionnaire (parents),Complete Intake Questionnaire (parents),,pre,parent,Parent Intake Questionnaire,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,premier_11_2-parent-kickoff-11-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",11,2,premier_11_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,premier-11-2 Optional - Listen to Get Wise Podcast. Episode 1 & 2,Optional - Listen to Get Wise Podcast. Episode 1 & 2,,post,parent,,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,premier_11_2-parent-kickoff-11-2,,11,2,premier_11_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,premier-11-2 Watch Welcome to Collegewise (parent).,Watch Welcome to Collegewise (parent).,,pre,parent,,,
Parent Kickoff,premier_11_2-parent-kickoff-11-2,,11,2,premier_11_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,premier-11-2 Watch Character Counts,Watch Character Counts,,pre,parent,,,
Parent Kickoff,premier_11_2-parent-kickoff-11-2,,11,2,premier_11_2-schoolnet-communication,UMS communication,,Best way to communicate via UMS including a tutorial of the system ,,,,,,,,,
Student Kickoff,premier_11_2-student-kickoff-11-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",11,2,premier_11_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-11-2 Complete Getting to Know You (students),Complete Getting to Know You (students),,pre,student,Getting To Know You!,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_11_2-student-kickoff-11-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",11,2,premier_11_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-11-2 Watch Welcome to Collegewise video (student).,Watch Welcome to Collegewise video (student).,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_11_2-student-kickoff-11-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",11,2,premier_11_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-11-2 Watch Character Counts,Watch Character Counts,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_11_2-student-kickoff-11-2,,11,2,premier_11_2-review-transcript,Review transcript,,"Review transcript to-date. What are they taking, how are they going, etc. ",,"premier-11-2 Compile and send relevant academic information: transcripts, test scores, etc","Compile and send relevant academic information: transcripts, test scores, etc",,pre,student,,,
Student Kickoff,premier_11_2-student-kickoff-11-2,,11,2,premier_11_2-evaluate-academic-performance-study-skills,Evaluate academic performance & study skills,,Evaluate academic performance and study skills and identify any necessary tutoring support needed. ,,,,,,,,,
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,premier_11_1-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,premier-11-1 Watch The College Planning Opportunity Many Juniors Miss,Watch The College Planning Opportunity Many Juniors Miss,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 3 & 4
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,premier_11_1-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,premier-11-1 FOR STUDENTS: Watch The College Planning Opportunity Many Juniors Miss,FOR STUDENTS: Watch The College Planning Opportunity Many Juniors Miss,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 3 & 4
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,premier_11_1-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,premier-11-1 Fill out the Activity section in UMS,Fill out the Activity section in UMS,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 3 & 4
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,premier_11_1-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,premier-11-1 Watch How Colleges Really Evaluate Your Activities,Watch How Colleges Really Evaluate Your Activities,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 3 & 4
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,premier_11_1-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,premier-11-1 Write a short essay about an activity that has impacted you,Write a short essay about an activity that has impacted you,,pre,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 3 & 4
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",11,1,premier_11_1-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,,premier-11-1 Optional - Listen to Get Wise Podcast. Episode 3 & 4,Optional - Listen to Get Wise Podcast. Episode 3 & 4,,post,parent,,,The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 3 & 4
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,,11,1,premier_11_1-academic-check-in,Academic Check-in,,Evaluate academic performance and identify any necessary support needed. Evaluation of study skills and determine if any additional support is necessary ,,premier-11-1 Schedule any necessary diagnostics prior to Testing meeting,Schedule any necessary diagnostics prior to Testing meeting,,pre,student,,,
Activity Assessment & Planning,premier_11_1-activity-assessment-planning-11-1,,11,1,premier_11_1-goal-setting-progress-report,Goal Setting Progress Report,,Fill out goals in the Goal Setting Progress Report. Set benchmark dates to check in on progress ,,,,,,,,,
Testing,premier_11_2-testing-to-be-held-with-cas-team-member-and-counselor-11-2,"Your counselor and one of our testing experts will work with you to fine-tune your standardized testing plan and make sure you’re well prepared for tests like the SAT, ACT, and AP exams.  ",11,2,premier_11_2-plan-testing-timeline-support,Plan Testing Timeline & Support,,"1. Review any test scores and diagnostics. Strategize on SAT/ACT test preference. Create a testing plan including recommendation of package/hours/service delivery format to meet student’s needs.      2. Discuss AP exams - determine AP exam preparation plan                                               3. Share any of these guides as needed: Guide to ACT, Guide to the PSAT, Guide to SAT as needed                                          ",(To be held with CAS team member and counselor),premier-11-2 Complete assigned diagnostics,Complete assigned diagnostics,,pre,student,,,Overview of Testing. To Test or Not to Test. Testing FAQ. Guide to ACT. Guide to PSAT. Guide to SAT.
Testing,premier_11_2-testing-to-be-held-with-cas-team-member-and-counselor-11-2,"Your counselor and one of our testing experts will work with you to fine-tune your standardized testing plan and make sure you’re well prepared for tests like the SAT, ACT, and AP exams.  ",11,2,premier_11_2-plan-testing-timeline-support,Plan Testing Timeline & Support,,"1. Review any test scores and diagnostics. Strategize on SAT/ACT test preference. Create a testing plan including recommendation of package/hours/service delivery format to meet student’s needs.      2. Discuss AP exams - determine AP exam preparation plan                                               3. Share any of these guides as needed: Guide to ACT, Guide to the PSAT, Guide to SAT as needed                                          ",(To be held with CAS team member and counselor),premier-11-2 Read Testing FAQ,Read Testing FAQ,,pre,student,,,Overview of Testing. To Test or Not to Test. Testing FAQ. Guide to ACT. Guide to PSAT. Guide to SAT.
Testing,premier_11_2-testing-to-be-held-with-cas-team-member-and-counselor-11-2,,11,2,premier_11_2-provide-testing-overview,Provide Testing Overview,,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",(To be held with CAS team member and counselor),premier-11-2 Watch Overview of Testing,Watch Overview of Testing,,pre,student,,,
Testing,premier_11_2-testing-to-be-held-with-cas-team-member-and-counselor-11-2,,11,2,premier_11_2-provide-testing-overview,Provide Testing Overview,,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",(To be held with CAS team member and counselor),premier-11-2 Read the Testing FAQ,Read the Testing FAQ,,pre,student,,,
Testing,premier_11_2-testing-to-be-held-with-cas-team-member-and-counselor-11-2,,11,2,premier_11_2-provide-testing-overview,Provide Testing Overview,,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",(To be held with CAS team member and counselor),premier-11-2 Watch To Test or Not to Test,Watch To Test or Not to Test,,pre,student,,,
Introduction to College Research,premier_11_2-introduction-to-college-research-11-2,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,2,premier_11_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,premier-11-2 Watch Overview of Colleges,Watch Overview of Colleges,,pre,parent,,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,premier_11_2-introduction-to-college-research-11-2,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,2,premier_11_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,premier-11-2 Watch What do You Want in a College?,Watch What do You Want in a College?,,pre,parent,,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,premier_11_2-introduction-to-college-research-11-2,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,2,premier_11_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,premier-11-2 Fill out College Questionnaire,Fill out College Questionnaire,,pre,parent,Parent College Search Questionnaire,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,premier_11_2-introduction-to-college-research-11-2,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,11,2,premier_11_2-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,premier-11-2 Optional - Listen to Get Wise Podcast. Episode 5,Optional - Listen to Get Wise Podcast. Episode 5,,post,parent,,,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
Introduction to College Research,premier_11_2-introduction-to-college-research-11-2,,11,2,premier_11_2-utilizing-school-local-resources-for-research,Utilizing school & local resources for research,,"Discuss utilizing school & local resources for research (school counselor, college rep visits, local college fairs, etc) ",,"premier-11-2 Watch College fairs, rep visits, and other college search resources","Watch College fairs, rep visits, and other college search resources",,pre,student,,,
College Research Round Two & Major Discussion,premier_11_2-college-research-round-two-major-discussion-11-2,"Based on your feedback, your counselor will help you refine your college list and consider potential academic plans in college (even if you don’t yet know what you want to study).",11,2,premier_11_2-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,premier-11-2 Research suggested college list,Research suggested college list,,pre,student,,,Highly Selected Colleges. Building a balanced college list. Academic opportunities in college.
College Research Round Two & Major Discussion,premier_11_2-college-research-round-two-major-discussion-11-2,"Based on your feedback, your counselor will help you refine your college list and consider potential academic plans in college (even if you don’t yet know what you want to study).",11,2,premier_11_2-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,premier-11-2 Watch Highly Selective Colleges,Watch Highly Selective Colleges,,pre,student,,,Highly Selected Colleges. Building a balanced college list. Academic opportunities in college.
College Research Round Two & Major Discussion,premier_11_2-college-research-round-two-major-discussion-11-2,"Based on your feedback, your counselor will help you refine your college list and consider potential academic plans in college (even if you don’t yet know what you want to study).",11,2,premier_11_2-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,premier-11-2 Watch Building a Balanced College List,Watch Building a Balanced College List,,pre,student,,,Highly Selected Colleges. Building a balanced college list. Academic opportunities in college.
College Research Round Two & Major Discussion,premier_11_2-college-research-round-two-major-discussion-11-2,,11,2,premier_11_2-discuss-majors,Discuss Majors,,"Begin to discuss potential major choices, assign majors to research ",,premier-11-2 Watch Academic Opportunities in College,Watch Academic Opportunities in College,,pre,student,,,
College Research Round Two & Major Discussion,premier_11_2-college-research-round-two-major-discussion-11-2,,11,2,premier_11_2-college-cost-financial-aid-eligibilty,College Cost & Financial Aid Eligibilty,,Share resources with family re: college cost and financial aid eligibility to allow them to evaluate on their own ,,,,,,,,,
Major Research & Course Selection,premier_11_2-major-research-course-selection-11-2,"Your counselor will review your list of colleges, discuss your current academic interests, and recommend a 12th grade course schedule that will best help you reach your goals.  ",11,2,premier_11_2-review-research,Review Research,,Review research. Continue to weave in major conversation as student completes research ,,premier-11-2 Research suggested college list,Research suggested college list,,pre,student,,,Podcast Ep. 6
Major Research & Course Selection,premier_11_2-major-research-course-selection-11-2,"Your counselor will review your list of colleges, discuss your current academic interests, and recommend a 12th grade course schedule that will best help you reach your goals.  ",11,2,premier_11_2-review-research,Review Research,,Review research. Continue to weave in major conversation as student completes research ,,premier-11-2 Research & review major research,Research & review major research,,pre,student,,,Podcast Ep. 6
Major Research & Course Selection,premier_11_2-major-research-course-selection-11-2,"Your counselor will review your list of colleges, discuss your current academic interests, and recommend a 12th grade course schedule that will best help you reach your goals.  ",11,2,premier_11_2-review-research,Review Research,,Review research. Continue to weave in major conversation as student completes research ,,premier-11-2 Fill in major questions for homework,Fill in major questions for homework,,pre,student,,,Podcast Ep. 6
Major Research & Course Selection,premier_11_2-major-research-course-selection-11-2,"Your counselor will review your list of colleges, discuss your current academic interests, and recommend a 12th grade course schedule that will best help you reach your goals.  ",11,2,premier_11_2-review-research,Review Research,,Review research. Continue to weave in major conversation as student completes research ,,premier-11-2 Optional - Listen to Get Wise Podcast. Episode 6,Optional - Listen to Get Wise Podcast. Episode 6,,post,parent,,,Podcast Ep. 6
Major Research & Course Selection,premier_11_2-major-research-course-selection-11-2,,11,2,premier_11_2-12th-grade-course-planning,12th Grade Course Planning,,"1. Review courses for 12th and confirm.        2. Discuss how the planned courses aligns with any major choices (if engineering, what coursework; if certain colleges, what coursework, etc). ",,premier-11-2 Fill in the Coursework section with all final grades from 9th-11th,Fill in the Coursework section with all final grades from 9th-11th,,pre,student,,,
Major Research & Course Selection,premier_11_2-major-research-course-selection-11-2,,11,2,premier_11_2-express-gratitude,Express gratitude,,Express gratitude to 1-2 favorite teachers,,,,,,,,,
College Visits & Letters of Recommendation,premier_11_2-college-visits-letters-of-recommendation-11-2,"This meeting focuses on two important parts of your college application process—planning college visits, and securing strong letters of recommendation from the right teachers.",11,2,premier_11_2-college-visits,College Visits,,1. Discuss college visits.                                     2. Make recommendations to the family based on the college list and provide resources to allow them to plan trips accordingly ,,premier-11-2 Read College Visit Guide,Read College Visit Guide,,pre,student,,,College Visit Guide. Letters of Recommendation FAQ. Which teachers should write your letters of recommendation?
College Visits & Letters of Recommendation,premier_11_2-college-visits-letters-of-recommendation-11-2,,11,2,premier_11_2-letters-of-recommendation,Letters of Recommendation,,Discuss letters of recommendation choices and compare to requirements based on current list ,,premier-11-2 Read Letters of Recommendation FAQ,Read Letters of Recommendation FAQ,,pre,student,,,
College Visits & Letters of Recommendation,premier_11_2-college-visits-letters-of-recommendation-11-2,,11,2,premier_11_2-letters-of-recommendation,Letters of Recommendation,,Discuss letters of recommendation choices and compare to requirements based on current list ,,premier-11-2 Watch Which teachers should write your letters of recommendation?,Watch Which teachers should write your letters of recommendation?,,pre,student,,,
College Visits & Letters of Recommendation,premier_11_2-college-visits-letters-of-recommendation-11-2,,11,2,premier_11_2-letters-of-recommendation,Letters of Recommendation,,Discuss letters of recommendation choices and compare to requirements based on current list ,,premier-11-2 Submit to SN counselor top three choices for teacher LOR and two supplemental LOR,Submit to SN counselor top three choices for teacher LOR and two supplemental LOR,,pre,student,,,
College Research - Narrowing the List,premier_11_2-college-research-narrowing-the-list-11-3,Applying to too many colleges can have adverse effects on both your applications and your sanity. We’ll review your current progress towards creating a balanced and strategically smart final list of colleges.,11,3,premier_11_2-narrow-the-list,Narrow the List,,1. Review research on additional schools.      2. Discuss how to narrow the list & including program research.                                             3. Provide an updated list with any additional schools necessary to fill the gaps to balance the list ,,premier-11-2 Research suggested college list,Research suggested college list,,pre,student,,,How to Navigate Demonstrated Interest. Podcast Ep. 7
College Research - Narrowing the List,premier_11_2-college-research-narrowing-the-list-11-3,Applying to too many colleges can have adverse effects on both your applications and your sanity. We’ll review your current progress towards creating a balanced and strategically smart final list of colleges.,11,3,premier_11_2-narrow-the-list,Narrow the List,,1. Review research on additional schools.      2. Discuss how to narrow the list & including program research.                                             3. Provide an updated list with any additional schools necessary to fill the gaps to balance the list ,,premier-11-2 Read How to Navigate Demonstrated Interest,Read How to Navigate Demonstrated Interest,,pre,student,,,How to Navigate Demonstrated Interest. Podcast Ep. 7
College Research - Narrowing the List,premier_11_2-college-research-narrowing-the-list-11-3,Applying to too many colleges can have adverse effects on both your applications and your sanity. We’ll review your current progress towards creating a balanced and strategically smart final list of colleges.,11,3,premier_11_2-narrow-the-list,Narrow the List,,1. Review research on additional schools.      2. Discuss how to narrow the list & including program research.                                             3. Provide an updated list with any additional schools necessary to fill the gaps to balance the list ,,premier-11-2 Optional - Listen to Get Wise Podcast. Episode 7,Optional - Listen to Get Wise Podcast. Episode 7,,post,parent,,,How to Navigate Demonstrated Interest. Podcast Ep. 7
